Name,NormalizedName,LandLag,LCanceledLandLag,TotalFrames,IASA,AutoCancelBefore,AutoCancelAfter,Start,End,Type,Notes,Percent,CharacterId,Source,Id
Edge attack,edge,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1285
Pummel,pummel,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1286
Back throw,bthrow,,,39,,,,0,0,Throw,,,0,http://meleeframedata.com/,1287
Up throw,uthrow,,,43,,,,0,0,Throw,,,0,http://meleeframedata.com/,1288
Down throw,dthrow,,,59,,,,0,0,Throw,,,0,http://meleeframedata.com/,1289
cargo_fthrow,cargo_fthrow,,,0,,,,,,Throw,,,0,http://meleeframedata.com/,1290
cargo_bthrow,cargo_bthrow,,,0,,,,,,Throw,,,0,http://meleeframedata.com/,1291
cargo_uthrow,cargo_uthrow,,,0,,,,,,Throw,,,0,http://meleeframedata.com/,1292
cargo_dthrow,cargo_dthrow,,,0,,,,,,Throw,,,0,http://meleeframedata.com/,1293
Down Air,dair,31,15,54,,3,49,18,23,Air,,,0,http://meleeframedata.com/,1304
Back Air,bair,15,7,39,32,7,19,7,15,Air,strong hit box frame 7-8,,0,http://meleeframedata.com/,1305
Giant Punch,neutralb,,,46,,,,17,21,Special,"weak hit frame 18, 10 frames shield stun
Intangible frames 17-18, only on fully charged punch",,0,http://meleeframedata.com/,1309
Headbutt,sideb,,,59,,,,20,21,Special,,,0,http://meleeframedata.com/,1310
Spinning Kong,upb,,,84,,,,3,58,Special,"strong hit frames 3-5 and invulnerable. 3 hits from frames 19-42 that do 8% each, and 4 hits from frames 43-74 that do 3% each (and 3 frames shield stun",,0,http://meleeframedata.com/,1311
Hand Slap,downb,,,60,,,,19,31,Special,13 frames of startup and 20 frames of endlag account for the startup and finish of down b. if you continue down b after two slaps these frame counts aren't present inbetween slaps,,0,http://meleeframedata.com/,1312
Dashattack,dattack,,,54,,,,9,20,Grounded,strong hitbox frame 9-12,,0,http://meleeframedata.com/,1314
Forward Tilt,ftilt,,,33,,,,8,11,Tilt,"angled up does 11%, angled down does 9%",,0,http://meleeframedata.com/,1315
Up Tilt,utilt,,,39,,,,6,11,Tilt,,,0,http://meleeframedata.com/,1316
Down Tilt,dtilt,,,22,,,,6,9,Tilt,,,0,http://meleeframedata.com/,1317
