Name,NormalizedName,LandLag,LCanceledLandLag,TotalFrames,IASA,AutoCancelBefore,AutoCancelAfter,Start,End,Type,Notes,Percent,CharacterId,Source,Id
unknown,unknown,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1294
Super Sheet,sideb,,,35,,,,12,14,Special,reflects frames 6-33,,0,http://meleeframedata.com/,1295
Super Jump Punch,upb,30,,37,,,,3,21,Special,"Strong hitbox (and invincible_ frame 3, followed bt 6 hitboxes 2% damage each, and one final hitbox of 3% damage",,0,http://meleeframedata.com/,1296
Dr. Tornado,downb,,,79,,,,8,39,Special,"6 hits, one 3%, three 2%, another 3%, then one last 4% hit",,0,http://meleeframedata.com/,1297
Megavitamins,neutralb,,,43,,,,14,89,Special,"pill last for 75 frames, but endlag ends at frame 43",,0,http://meleeframedata.com/,1298
Dashattack,dattack,,,43,38,,,6,25,Grounded,weak hit frames 10-25,,0,http://meleeframedata.com/,1300
Forward Tilt,ftilt,,,29,,,,4,8,Tilt,,,0,http://meleeframedata.com/,1301
Up Tilt,utilt,,,30,30,,,4,13,Tilt,weak hit frames 5-13,,0,http://meleeframedata.com/,1303
Down Tilt,dtilt,,,34,,,,5,8,Tilt,,,0,http://meleeframedata.com/,1325
Up Smash,usmash,,,39,,,,9,11,Grounded,weak hit frame 11,,0,http://meleeframedata.com/,1326
Forward Smash,fsmash,,,41,,,,12,16,Grounded,,,0,http://meleeframedata.com/,1345
Down Smash,dsmash,,,37,,,,5,15,Grounded,"front hit frames 5-6, back hit frames 14-15. weak hit is the second frame of each, 17% for front hit 13% for back",,0,http://meleeframedata.com/,1348
Neutral Air,nair,18,9,45,,3,35,3,31,Air,weak hit frames 3-19,,0,http://meleeframedata.com/,1349
Forward Air,fair,25,12,74,60,3,42,18,22,Air,,,0,http://meleeframedata.com/,1350
Back Air,bair,18,9,28,,6,18,6,16,Air,weak hit frames 9-16,,0,http://meleeframedata.com/,1351
Up Air,uair,18,9,33,30,2,15,4,9,Air,,,0,http://meleeframedata.com/,1352
Down Air,dair,24,12,38,38,6,35,10,32,Air,"Move active in frame windows 10-11, 13-14, 16-17, 19-20, 22-23, 25-26, 28-29, 31-32",,0,http://meleeframedata.com/,1353
Edge attack,edge,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1355
Pummel,pummel,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1356
Forward throw,fthrow,,,27,,,,0,0,Throw,,,0,http://meleeframedata.com/,1357
Back throw,bthrow,,,66,,,,0,0,Throw,,,0,http://meleeframedata.com/,1358
Up throw,uthrow,,,39,,,,0,0,Throw,,,0,http://meleeframedata.com/,1359
Down throw,dthrow,,,39,,,,0,0,Throw,,,0,http://meleeframedata.com/,1360
Roll backwards,rollbackwards,,,31,,,,4,19,Dodge,,,0,http://meleeframedata.com/,1407
Roll forwards,rollforward,,,31,,,,4,19,Dodge,,,0,http://meleeframedata.com/,1408
Spotdodge,spotdodge,,,22,,,,2,15,Dodge,,,0,http://meleeframedata.com/,1409
Airdodge,airdodge,,,48,,,,0,,Dodge,,,0,http://meleeframedata.com/,1410
Jab 1,jab1,,,15,,,,2,3,Grounded,,,0,http://meleeframedata.com/,1490
Jab 2,jab2,,,17,,,,2,3,Grounded,,,0,http://meleeframedata.com/,1491
Jab 3,jab3,,,21,,,,4,8,Grounded,,,0,http://meleeframedata.com/,1492
Dr. Tornado (Air),adownb,,,79,,,,8,39,Special,"6 hits, one 3%, three 2%, another 3%, then one last 4% hit",,0,http://meleeframedata.com/,1546
Megavitamins (Air),aneutralb,,,43,,,,14,89,Special,may start fast falling at frame 10,,0,http://meleeframedata.com/,1547
Super Sheet (Air),asideb,,,35,,,,12,14,Special,reflects frames 6-33,,0,http://meleeframedata.com/,1548
Super Jump Punch (Air),aupb,30,,37,,,,3,21,Special,Cancel info listed here (also applies for grounded up-b): https://smashboards.com/threads/up-b-cancel-frame-and-hitbox-data-complete-with-gifs-and-now-oos-data.378468/,,0,http://meleeframedata.com/,1549
Grab,grab,,,30,,,,7,8,Unknown,,,0,http://meleeframedata.com/,1581
Dashgrab,dashgrab,,,40,,,,11,12,Unknown,,,0,http://meleeframedata.com/,1582
Forward Tilt (Up),uaft,,,29,,,,4,8,Tilt,,,0,http://meleeframedata.com/,1644
Forward Tilt (Down),daft,,,29,,,,4,8,Tilt,,,0,http://meleeframedata.com/,1645
Tech-Roll Forward,ftechroll,,,40,,,,,,Unknown,"Horizontal Movement At: 9
Distance: 14.6 ft
Invincible: 1-20",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,1687
Tech-Roll Backward,btechroll,,,40,,,,,,Unknown,"Horizontal Movement At: 10
Distance: 14.6 ft
Invincible: 1-20",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,1688
Getup-Attack (Back),bgetup,,,49,,,,,,Unknown,"Hit: 20-21 (Behind), 24-25 (Front)
Invincible: 1-25",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,1689
Getup-Attack (Stomach),fgetup,,,49,,,,,,Unknown,"Hit: 19-20 (Behind), 25-26 (Front)
Invincible: 1-26",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,1690
Getup-Roll Forward (Back),fgetuprollback,,,35,,,,,,Unknown,"Horizontal Movement At: 6
Distance: 12.6 ft
Invincible: 1-21",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,1691
Getup-Roll Forward (Stomach),fgetuprollstomach,,,35,,,,,,Unknown,"Horizontal Movement At: 6
Distance: 12.4 ft
Invincible: 1-19",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,1692
Getup-Roll Backward (Back),bgetuprollback,,,35,,,,,,Unknown,"Horizontal Movement At: 12
Distance: 12.4 ft
Invincible: 1-22",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,1693
Getup-Roll Backward (Stomach),bgetuprollstomach,,,35,,,,,,Unknown,"Horizontal Movement At: 11
Distance: 12.4 ft
Invincible: 1-24",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,1694
Tech-Neutral,neutraltech,,,26,,,,,,Unknown,Invincible: 1-20,,0,http://meleeframedata.com/,1891
Tech-Wall,walltech,,,31,6,,,,,Unknown,"Invincible: 1-14
Input an upwards direction anywhere on 1-4 for walljump tech on 6)",,0,http://meleeframedata.com/,1917
Tech-Wall Jump,walltechjump,,,40,1,,,,,Unknown,,,0,http://meleeframedata.com/,1943
