Name,NormalizedName,LandLag,LCanceledLandLag,TotalFrames,IASA,AutoCancelBefore,AutoCancelAfter,Start,End,Type,Notes,Percent,CharacterId,Source,Id
Warlock Punch,neutralb,,,119,117,,,70,72,Special,,,0,http://meleeframedata.com/,878
Gerudo Dragon,sideb,,,79,,,,15,34,Special,"once side b collides with a player, the punch hitbox starts, active frames 3-7, with 25 frames endlag",,0,http://meleeframedata.com/,879
Dark Dive,upb,30,,64,,,,13,33,Special,"direction determined at frame 13. grabs edges as early as frame 45. if hits, 4 hits of 1% followed by a strong hit of 13% frames 3-25. ",,0,http://meleeframedata.com/,880
Wizard's Foot,downb,,,77,,,,14,34,Special,,,0,http://meleeframedata.com/,881
Dashattack,dattack,,,39,38,,,7,16,Grounded,weak hit frames 10-16 with 6 frames shield stun,,0,http://meleeframedata.com/,884
Forward Tilt,ftilt,,,29,,,,9,11,Tilt,,,0,http://meleeframedata.com/,906
Down Tilt,dtilt,,,35,35,,,10,12,Tilt,,,0,http://meleeframedata.com/,907
Up Tilt,utilt,,,114,113,,,81,83,Tilt,,,0,http://meleeframedata.com/,926
Forward Smash,fsmash,,,66,60,,,20,24,Grounded,,,0,http://meleeframedata.com/,929
Up Smash,usmash,,,54,40,,,21,29,Grounded,"strong hit frames 21-23, weak hit frames 26-29",,0,http://meleeframedata.com/,930
Down Smash,dsmash,,,49,47,,,19,32,Grounded,"strong hit frames 29-32, weak hit frames 19-22 with 5 frames shieldstun",,0,http://meleeframedata.com/,931
Neutral Air,nair,25,12,44,,4,25,7,21,Air,"hitboxes frames 7-8, 20-21",,0,http://meleeframedata.com/,932
Forward Air,fair,25,12,44,35,7,33,14,19,Air,,,0,http://meleeframedata.com/,933
Back Air,bair,25,12,35,29,7,18,10,15,Air,,,0,http://meleeframedata.com/,934
Up Air,uair,25,12,33,30,1,21,6,16,Air,"hitboxes frames 6-10, 11-13, 14-16, hits can do damage between 6-13%, getting weaker over time",,0,http://meleeframedata.com/,935
Down Air,dair,35,17,44,38,4,35,16,20,Air,,,0,http://meleeframedata.com/,936
Edge attack,edge,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,938
Pummel,pummel,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,939
Forward throw,fthrow,,,39,,,,11,17,Throw,,,0,http://meleeframedata.com/,940
Back throw,bthrow,,,49,,,,12,19,Throw,,,0,http://meleeframedata.com/,941
Up throw,uthrow,,,43,,,,11,28,Throw,,,0,http://meleeframedata.com/,942
Down throw,dthrow,,,39,,,,0,0,Throw,,,0,http://meleeframedata.com/,943
Roll forwards,rollforward,,,31,,,,4,19,Dodge,,,0,http://meleeframedata.com/,1467
Roll backwards,rollbackwards,,,31,,,,4,19,Dodge,,,0,http://meleeframedata.com/,1468
Spotdodge,spotdodge,,,32,,,,2,20,Dodge,,,0,http://meleeframedata.com/,1469
Airdodge,airdodge,,,49,,,,0,,Dodge,,,0,http://meleeframedata.com/,1470
Jab 1,jab1,,,21,19,,,3,5,Grounded,,,0,http://meleeframedata.com/,1494
Gerudo Dragon (Air),asideb,40,,79,,,,15,34,Special,"once side b collides with a player, the punch hitbox starts, active frames 3-7, with 45 frames endlag",,0,http://meleeframedata.com/,1555
Wizard's Foot (Air),adownb,57,,58,,,,15,29,Special,"weak hit is the landing hit frames 2-3, 57 frames total. ",,0,http://meleeframedata.com/,1556
Grab,grab,,,30,,,,7,8,Unknown,,,0,http://meleeframedata.com/,1585
Dashgrab,dashgrab,,,40,,,,11,13,Unknown,,,0,http://meleeframedata.com/,1586
Forward Tilt (Up),uaft,,,29,,,,9,11,Tilt,,,0,http://meleeframedata.com/,1638
Forward Tilt (Down),daft,,,29,,,,9,11,Tilt,,,0,http://meleeframedata.com/,1639
