Name,NormalizedName,LandLag,LCanceledLandLag,TotalFrames,IASA,AutoCancelBefore,AutoCancelAfter,Start,End,Type,Notes,Percent,CharacterId,Source,Id
LinkSpecial,linkspecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1054
LuigiSpecial,luigispecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1055
MarioSpecial,mariospecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1056
NessSpecial,nessspecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1057
PeachSpecial,peachspecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1058
PichuSpecial,pichuspecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1059
PikaSpecial,pikachuspecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1060
SamusSpecial,samusspecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1061
Forward throw,fthrow,,,61,,,,0,0,Throw,,,0,http://meleeframedata.com/,1062
Back throw,bthrow,,,49,,,,0,0,Throw,,,0,http://meleeframedata.com/,1063
Up throw,uthrow,,,79,,,,0,0,Throw,,,0,http://meleeframedata.com/,1064
Down throw,dthrow,,,87,,,,10,56,Throw,,,0,http://meleeframedata.com/,1065
BowserSpecial,bowserspecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1093
Pummel,pummel,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1114
Edge attack,edge,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1115
YoshiSpecial,yoshispecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1159
MrGandWSpecial,mrgameandwatchspecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1160
Swallow,neutralb,,,79,,,,17,60,Special,damage is based off character weight. Information on each ability kirby can obtain is listed here: https://smashboards.com/threads/kirby-hitboxes-and-frame-data.322531/,,0,http://meleeframedata.com/,1161
Dashattack,dattack,,,63,60,,,9,43,Grounded,weak hit frames 16-43,,0,http://meleeframedata.com/,1163
Forward Tilt,ftilt,,,32,28,,,5,8,Tilt,,,0,http://meleeframedata.com/,1164
Up Tilt,utilt,,,23,,,,4,7,Tilt,weak hit frames 5-7,,0,http://meleeframedata.com/,1165
Down Tilt,dtilt,,,29,,,,4,7,Tilt,,,0,http://meleeframedata.com/,1166
Forward Smash,fsmash,,,49,,,,13,21,Grounded,weak hit frames 16-21,,0,http://meleeframedata.com/,1167
Up Smash,usmash,,,49,,,,13,23,Grounded,"hits can do anywhere between 12-15%, gets weaker as the move goes on",,0,http://meleeframedata.com/,1168
Down Smash,dsmash,,,55,50,,,7,22,Grounded,,,0,http://meleeframedata.com/,1169
Neutral Air,nair,15,7,79,50,10,37,10,34,Air,weak hit frames 18-34,,0,http://meleeframedata.com/,1170
Forward Air,fair,20,10,49,40,10,37,10,26,Air,"two hits of 5 damage (frames 10-11, 17-18) and one hit of 8 damage (frames 25-26)",,0,http://meleeframedata.com/,1171
Back Air,bair,15,7,43,36,6,27,6,20,Air,weak hit frames 9-20,,0,http://meleeframedata.com/,1172
Up Air,uair,15,7,39,36,11,16,11,13,Air,,,0,http://meleeframedata.com/,1173
Down Air,dair,20,10,59,55,18,47,18,37,Air,"hitbox on frames 18-19, 21-22, 24-25, 27-28, 30-31, 33-34, 36-37",,0,http://meleeframedata.com/,1174
unknown_air,unknown_air,,,0,,,,,,Air,,,0,http://meleeframedata.com/,1175
MewtwoSpecial,mewtwospecial,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1176
