Name,NormalizedName,LandLag,LCanceledLandLag,TotalFrames,IASA,AutoCancelBefore,AutoCancelAfter,Start,End,Type,Notes,Percent,CharacterId,Source,Id
Down Air,dair,28,14,57,47,6,44,18,21,Air,,,0,http://meleeframedata.com/,803
Edge attack,edge,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,805
Pummel,pummel,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,806
Confusion,sideb,,,55,,,,12,15,Special,reflects frames 12-27,,0,http://meleeframedata.com/,807
Forward throw,fthrow,,,74,,,,0,0,Throw,,,0,http://meleeframedata.com/,808
Back throw,bthrow,,,49,,,,0,0,Throw,,,0,http://meleeframedata.com/,809
Up throw,uthrow,,,69,,,,0,0,Throw,,,0,http://meleeframedata.com/,810
Down throw,dthrow,,,49,,,,15,24,Throw,,,0,http://meleeframedata.com/,811
Up Air,uair,20,10,37,35,4,32,9,11,Air,,,0,http://meleeframedata.com/,947
Back Air,bair,28,14,31,,3,29,12,15,Air,,,0,http://meleeframedata.com/,1032
Neutral Air,nair,26,13,54,45,5,43,5,42,Air,"9 weak hits (can do 2% or 1% damage) followed by strong hit at frames 41-42. Weak hits last 2 frames each ",,0,http://meleeframedata.com/,1033
Shadow Ball,neutralb,,,26,,,,17,17,Special,Shadow Ball lasts 69 frames. fully charged takes 100 frames,,0,http://meleeframedata.com/,1250
Disable,downb,,,41,,,,15,21,Special,,,0,http://meleeframedata.com/,1251
Dashattack,dattack,,,49,38,,,10,29,Grounded,weak hit frames 15-29,,0,http://meleeframedata.com/,1253
Forward Tilt,ftilt,,,31,29,,,6,8,Tilt,,,0,http://meleeframedata.com/,1254
Up Tilt,utilt,,,31,28,,,6,11,Tilt,,,0,http://meleeframedata.com/,1255
Down Tilt,dtilt,,,29,20,,,5,7,Tilt,,,0,http://meleeframedata.com/,1256
Forward Smash,fsmash,,,59,52,,,18,19,Grounded,weak hit has 7 frames shield stun,,0,http://meleeframedata.com/,1257
Up Smash,usmash,,,79,70,,,9,38,Grounded,"6 weak hitboxes lasting 2 frames each with 2 frame breaks inbetwwen, storng hit frames 37-38",,0,http://meleeframedata.com/,1258
