Name,NormalizedName,LandLag,LCanceledLandLag,TotalFrames,IASA,AutoCancelBefore,AutoCancelAfter,Start,End,Type,Notes,Percent,CharacterId,Source,Id
Forward Air,fair,25,12,44,,3,44,10,32,Air,"weak hit frames 13-32, with 4 frames shieldstun",,0,http://meleeframedata.com/,866
Back Air,bair,18,,39,,10,39,10,24,Air,"5 total hits, frame windows 10-12, 13-15, 16-18, 19-21, 22-24",,0,http://meleeframedata.com/,867
Up Air,uair,15,,39,,7,39,7,22,Air,"weak hit frames 7-16, strong hit frames 21-22",,0,http://meleeframedata.com/,868
Down Air,dair,20,10,49,,6,49,12,38,Air,weak hit frames 13-38,,0,http://meleeframedata.com/,869
Edge attack,edge,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,871
Pummel,pummel,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,872
unknown,unknown,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,873
Forward throw,fthrow,,,27,,,,0,0,Throw,,,0,http://meleeframedata.com/,874
Back throw,bthrow,,,66,,,,0,0,Throw,,,0,http://meleeframedata.com/,875
Up throw,uthrow,,,39,,,,0,0,Throw,,,0,http://meleeframedata.com/,876
Down throw,dthrow,,,39,,,,0,0,Throw,,,0,http://meleeframedata.com/,877
Neutral Air,nair,15,,44,,3,44,20,29,Air,,,0,http://meleeframedata.com/,883
Down Smash,dsmash,,,34,,,,15,19,Grounded,shield stun for weak hit is 6 frames,,0,http://meleeframedata.com/,885
Forward Smash,fsmash,,,44,42,,,13,33,Grounded,"non fire hitbox 14% damage, weak hit frames 17-33 with 4 frames shieldstun",,0,http://meleeframedata.com/,886
Chef,neutralb,,,49,,,,18,21,Special,"pan hit is the strong hit, sausages are the weak hits. can throw more sausage every 20-34 frames. sausage lasts 80 frames total",,0,http://meleeframedata.com/,895
Judgement,sideb,,,49,,,,16,29,Special,"The first hammer in a match cannot be a 1 or 2.
The second hammer in a match cannot be a 2.
Any number the hammer displays cannot be obtained again until after 2 more hammers.
A death (fall or SD) will reset the rules currently applied to #3.
So long as the forward B animation starts, it will count as the next number. In other words: If you input forward B on frame 1 and are hit on frame 2, it'll still count as the number coming out.

9 Hitbox is smaller than the other hitboxes check https://i.fightcore.gg/mrgame&watch/sideb9.gif",,0,http://meleeframedata.com/,896
Fire,upb,40,,39,,,,1,37,Special,,,0,http://meleeframedata.com/,897
Oil Panic,downb,,,49,,,,2,37,Special,"percent damage is max damage game & watch can do. absorb stats: active frames 5-37, ends frame 49. will loop every 32 frames until b is let go",,0,http://meleeframedata.com/,898
Dashattack,dattack,,,37,,,,6,29,Grounded,,,0,http://meleeframedata.com/,900
Forward Tilt,ftilt,,,44,42,,,13,30,Tilt,,,0,http://meleeframedata.com/,901
