Name,NormalizedName,LandLag,LCanceledLandLag,TotalFrames,IASA,AutoCancelBefore,AutoCancelAfter,Start,End,Type,Notes,Percent,CharacterId,Source,Id
Forward throw,fthrow,,,41,,,,0,0,Throw,,,0,http://meleeframedata.com/,992
Back throw,bthrow,,,41,,,,0,0,Throw,,,0,http://meleeframedata.com/,993
Up throw,uthrow,,,41,,,,13,25,Throw,,,0,http://meleeframedata.com/,994
Down throw,dthrow,,,41,,,,0,0,Throw,,,0,http://meleeframedata.com/,995
Pummel,pummel,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1009
Edge attack,edge,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,1011
Down Air,dair,15,7,54,49,3,33,18,22,Air,,,0,http://meleeframedata.com/,1012
Screw Attack,upb,24,,49,,,,4,33,Special,"invulnerable frames 1-5. 15 total hitboxes, first is strong hit, rest are weak hits",,0,http://meleeframedata.com/,1013
Air Grapple,zair,30,,60,,,,10,28,Air,"Grab a wall: 9-29
Jumping from grabbing: 1-11 (depends on how far you are from the point of grapple, and whether you're dangling)
Ladfallspeciallag: 4",,0,http://meleeframedata.com/,1014
Charge Shot,neutralb,,,44,,,,14,83,Special,"starts charging frame 14. can charge for 140 frames max. 8 frames of lag after stop charging. 2 frame startup if shot while chraging, 15 if a held charge. shot lasts 69 frames ",,0,http://meleeframedata.com/,1015
Homing Missle,sideb,,,49,,,,22,98,Special,"homing missle has 10 more frames of endlag, but lasts 35 frames longer and comes out 7 frames earlier with 7 franes shield stun (and is the weak hit)",,0,http://meleeframedata.com/,1016
Bomb,downb,,,53,,,,10,83,Special,"bomb hitbox exists 73 frames, when activated hits for 11 frames. damage is split up between multipule hitboxes, no info on their indivudal percents however",,0,http://meleeframedata.com/,1017
Neutral Air,nair,15,7,49,40,5,34,5,29,Air,weak hit frames 9-29,,0,http://meleeframedata.com/,1019
Dashattack,dattack,,,37,,,,7,16,Grounded,weak hit frames 10-16,,0,http://meleeframedata.com/,1020
Forward Tilt,ftilt,,,31,30,,,6,8,Tilt,,,0,http://meleeframedata.com/,1021
Up Tilt,utilt,,,39,35,,,14,17,Tilt,,,0,http://meleeframedata.com/,1022
Down Tilt,dtilt,,,39,,,,6,8,Tilt,,,0,http://meleeframedata.com/,1023
Forward Smash,fsmash,,,43,,,,10,13,Grounded,,,0,http://meleeframedata.com/,1024
Up Smash,usmash,,,59,58,,,12,29,Grounded,"5 hits frames 12-14, 16-18, 20-22, 24-26, and 28-29. First 3 are weak hits, 4th hit does 5%, last hit is the strong hit",,0,http://meleeframedata.com/,1025
Down Smash,dsmash,,,48,45,,,6,16,Grounded,"front (strong) hit frames 6-8, weak (back) hit frames 14-16",,0,http://meleeframedata.com/,1026
Forward Air,fair,15,7,55,50,1,46,4,31,Air,"5 total hits 2 frames each, with 5 to 6 frames between each hit",,0,http://meleeframedata.com/,1027
Back Air,bair,15,7,39,37,9,30,9,12,Air,,,0,http://meleeframedata.com/,1028
Up Air,uair,15,7,39,39,5,33,5,24,Air,"7 hitboxes, first one does 3%, next 5 do 1%, last one does 4%",,0,http://meleeframedata.com/,1029
Roll forwards,rollforward,,,44,,,,4,23,Dodge,,,0,http://meleeframedata.com/,1391
Roll backwards,rollbackwards,,,44,,,,4,23,Dodge,,,0,http://meleeframedata.com/,1392
Spotdodge,spotdodge,,,22,,,,2,15,Dodge,,,0,http://meleeframedata.com/,1393
Airdodge,airdodge,,,49,,,,0,,Dodge,,,0,http://meleeframedata.com/,1394
Jab 1,jab1,,,17,,,,3,4,Grounded,,,0,http://meleeframedata.com/,1520
Jab 2,jab2,,,29,,,,4,6,Grounded,,,0,http://meleeframedata.com/,1521
