Name,NormalizedName,LandLag,LCanceledLandLag,LandingFallSpecialLag,TotalFrames,IASA,AutoCancelBefore,AutoCancelAfter,Start,End,Type,Notes,Percent,CharacterId,Source,GifUrl,WebmUrl,PngUrl,IsInterpolated,Id
Falcon Punch,neutralb,,,,99,65,,,52,56,Special,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/captainfalcon/neutralb.gif,https://i.fightcore.gg/beta/captainfalcon/neutralb.webm,https://i.fightcore.gg/png/captainfalcon/neutralb.png,False,1049
Raptor Boost,sideb,,,,79,,,,15,34,Special,"once side b collides with a player, the punch hitbox starts, active frames 3-7, with 25 frames endlag",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/captainfalcon/sideb.gif,https://i.fightcore.gg/beta/captainfalcon/sideb.webm,https://i.fightcore.gg/png/captainfalcon/sideb.png,False,1071
Facon kick,downb,,,,64,,,,14,32,Special,"strong hit frames 14-16, weaker hit frames 17-24, weakest hit frames 25-32",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/captainfalcon/downb.gif,https://i.fightcore.gg/beta/captainfalcon/downb.webm,https://i.fightcore.gg/png/captainfalcon/downb.png,False,1072
Dashattack,dattack,,,,39,38,,,7,16,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/captainfalcon/dattack.gif,https://i.fightcore.gg/beta/captainfalcon/dattack.webm,https://i.fightcore.gg/png/captainfalcon/dattack.png,False,1074
Up throw,uthrow,,,,43,,,,11,28,Throw,,,0,http://meleeframedata.com/,,,,False,1095
Forward Tilt,ftilt,,,,29,,,,9,11,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/captainfalcon/ftilt.gif,https://i.fightcore.gg/beta/captainfalcon/ftilt.webm,https://i.fightcore.gg/png/captainfalcon/ftilt.png,False,1096
Up Tilt,utilt,,,,39,38,,,17,21,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/captainfalcon/utilt.gif,https://i.fightcore.gg/beta/captainfalcon/utilt.webm,https://i.fightcore.gg/png/captainfalcon/utilt.png,False,1097
Down Tilt,dtilt,,,,35,35,,,10,15,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/captainfalcon/dtilt.gif,https://i.fightcore.gg/beta/captainfalcon/dtilt.webm,https://i.fightcore.gg/png/captainfalcon/dtilt.png,False,1098
Forward Smash,fsmash,,,,64,60,,,18,21,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/captainfalcon/fsmash.gif,https://i.fightcore.gg/beta/captainfalcon/fsmash.webm,https://i.fightcore.gg/png/captainfalcon/fsmash.png,False,1099
Up Smash,usmash,,,,54,40,,,21,28,Grounded,"active 21-22 and 27-28, first hit can do 8% or 14%, second hit can do 12%-13%",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/captainfalcon/usmash.gif,https://i.fightcore.gg/beta/captainfalcon/usmash.webm,https://i.fightcore.gg/png/captainfalcon/usmash.png,False,1100
