Name,NormalizedName,LandLag,LCanceledLandLag,LandingFallSpecialLag,TotalFrames,IASA,AutoCancelBefore,AutoCancelAfter,Start,End,Type,Notes,Percent,CharacterId,Source,GifUrl,WebmUrl,PngUrl,IsInterpolated,Id
unknown,unknown,,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,,,,False,1294
Super Sheet,sideb,,,,35,,,,12,14,Special,reflects frames 6-33,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/drmario/sideb.gif,https://i.fightcore.gg/beta/drmario/sideb.webm,https://i.fightcore.gg/png/drmario/sideb.png,False,1295
Super Jump Punch,upb,30,,,37,,,,3,21,Special,"Strong hitbox (and invincible_ frame 3, followed bt 6 hitboxes 2% damage each, and one final hitbox of 3% damage",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/drmario/upb.gif,https://i.fightcore.gg/beta/drmario/upb.webm,https://i.fightcore.gg/png/drmario/upb.png,False,1296
Dr. Tornado,downb,,,,79,,,,8,39,Special,"6 hits, one 3%, three 2%, another 3%, then one last 4% hit",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/drmario/downb.gif,https://i.fightcore.gg/beta/drmario/downb.webm,https://i.fightcore.gg/png/drmario/downb.png,False,1297
Megavitamins,neutralb,,,,43,,,,14,89,Special,"pill last for 75 frames, but endlag ends at frame 43",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/drmario/neutralb.gif,https://i.fightcore.gg/beta/drmario/neutralb.webm,https://i.fightcore.gg/png/drmario/neutralb.png,False,1298
Dashattack,dattack,,,,43,38,,,6,25,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/drmario/dattack.gif,https://i.fightcore.gg/beta/drmario/dattack.webm,https://i.fightcore.gg/png/drmario/dattack.png,False,1300
Forward Tilt,ftilt,,,,29,,,,4,8,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/drmario/ftilt.gif,https://i.fightcore.gg/beta/drmario/ftilt.webm,https://i.fightcore.gg/png/drmario/ftilt.png,False,1301
Up Tilt,utilt,,,,30,30,,,4,13,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/drmario/utilt.gif,https://i.fightcore.gg/beta/drmario/utilt.webm,https://i.fightcore.gg/png/drmario/utilt.png,False,1303
Down Tilt,dtilt,,,,34,,,,5,8,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/drmario/dtilt.gif,https://i.fightcore.gg/beta/drmario/dtilt.webm,https://i.fightcore.gg/png/drmario/dtilt.png,False,1325
Up Smash,usmash,,,,39,,,,9,11,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/drmario/usmash.gif,https://i.fightcore.gg/beta/drmario/usmash.webm,https://i.fightcore.gg/png/drmario/usmash.png,False,1326
Forward Smash,fsmash,,,,41,,,,12,16,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/drmario/fsmash.gif,https://i.fightcore.gg/beta/drmario/fsmash.webm,https://i.fightcore.gg/png/drmario/fsmash.png,False,1345
Down Smash,dsmash,,,,37,,,,5,15,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/drmario/dsmash.gif,https://i.fightcore.gg/beta/drmario/dsmash.webm,https://i.fightcore.gg/png/drmario/dsmash.png,False,1348
