Name,NormalizedName,LandLag,LCanceledLandLag,LandingFallSpecialLag,TotalFrames,IASA,AutoCancelBefore,AutoCancelAfter,Start,End,Type,Notes,Percent,CharacterId,Source,GifUrl,WebmUrl,PngUrl,IsInterpolated,Id
Down Tilt,dtilt,,,,29,28,,,7,9,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/falco/dtilt.gif,https://i.fightcore.gg/beta/falco/dtilt.webm,https://i.fightcore.gg/png/falco/dtilt.png,False,1327
Forward Smash,fsmash,,,,39,,,,12,21,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/falco/fsmash.gif,https://i.fightcore.gg/beta/falco/fsmash.webm,https://i.fightcore.gg/png/falco/fsmash.png,False,1328
Up Smash,usmash,,,,43,,,,7,15,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/falco/usmash.gif,https://i.fightcore.gg/beta/falco/usmash.webm,https://i.fightcore.gg/png/falco/usmash.png,False,1329
Down Smash,dsmash,,,,49,46,,,6,10,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/falco/dsmash.gif,https://i.fightcore.gg/beta/falco/dsmash.webm,https://i.fightcore.gg/png/falco/dsmash.png,False,1330
Neutral Air,nair,15,7,,49,42,4,36,4,31,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/falco/nair.gif,https://i.fightcore.gg/beta/falco/nair.webm,https://i.fightcore.gg/png/falco/nair.png,False,1331
Forward Air,fair,22,11,,59,53,6,48,6,45,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/falco/fair.gif,https://i.fightcore.gg/beta/falco/fair.webm,https://i.fightcore.gg/png/falco/fair.png,False,1332
Back Air,bair,20,10,,39,38,4,22,4,19,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/falco/bair.gif,https://i.fightcore.gg/beta/falco/bair.webm,https://i.fightcore.gg/png/falco/bair.png,False,1333
Up Air,uair,18,9,,39,36,8,25,8,14,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/falco/uair.gif,https://i.fightcore.gg/beta/falco/uair.webm,https://i.fightcore.gg/png/falco/uair.png,False,1334
Down Air,dair,18,9,,49,,5,29,5,24,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/falco/dair.gif,https://i.fightcore.gg/beta/falco/dair.webm,https://i.fightcore.gg/png/falco/dair.png,False,1335
Edge attack,edge,,,,0,,,,,,EdgeAttack,,,0,http://meleeframedata.com/,,,,False,1337
Pummel,pummel,,,,0,,,,,,Throw,,,0,http://meleeframedata.com/,,,,False,1338
Forward throw,fthrow,,,,33,,,,10,10,Throw,,,0,http://meleeframedata.com/,,,,False,1339
Back throw,bthrow,,,,38,,,,15,21,Throw,,,0,http://meleeframedata.com/,,,,False,1340
Up throw,uthrow,,,,38,,,,18,24,Throw,,,0,http://meleeframedata.com/,,,,False,1341
Down throw,dthrow,,,,43,,,,23,31,Throw,,,0,http://meleeframedata.com/,,,,False,1342
