Name,NormalizedName,LandLag,LCanceledLandLag,LandingFallSpecialLag,TotalFrames,IASA,AutoCancelBefore,AutoCancelAfter,Start,End,Type,Notes,Percent,CharacterId,Source,GifUrl,WebmUrl,PngUrl,IsInterpolated,Id
Up Smash,usmash,,,,49,44,,,14,18,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/iceclimbers/usmash.gif,https://i.fightcore.gg/beta/iceclimbers/usmash.webm,https://i.fightcore.gg/png/iceclimbers/usmash.png,False,1034
Down Smash,dsmash,,,,39,36,,,6,11,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/iceclimbers/dsmash.gif,https://i.fightcore.gg/beta/iceclimbers/dsmash.webm,https://i.fightcore.gg/png/iceclimbers/dsmash.png,False,1035
Neutral Air,nair,20,10,,49,46,6,29,6,23,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/iceclimbers/nair.gif,https://i.fightcore.gg/beta/iceclimbers/nair.webm,https://i.fightcore.gg/png/iceclimbers/nair.png,False,1036
Forward Air,fair,20,10,,59,55,2,55,19,22,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/iceclimbers/fair.gif,https://i.fightcore.gg/beta/iceclimbers/fair.webm,https://i.fightcore.gg/png/iceclimbers/fair.png,False,1037
Back Air,bair,20,10,,39,36,8,18,8,11,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/iceclimbers/bair.gif,https://i.fightcore.gg/beta/iceclimbers/bair.webm,https://i.fightcore.gg/png/iceclimbers/bair.png,False,1038
Up Air,uair,32,16,,39,30,6,26,6,23,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/iceclimbers/uair.gif,https://i.fightcore.gg/beta/iceclimbers/uair.webm,https://i.fightcore.gg/png/iceclimbers/uair.png,False,1039
Down Air,dair,25,12,,65,64,3,57,3,52,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/iceclimbers/dair.gif,https://i.fightcore.gg/beta/iceclimbers/dair.webm,https://i.fightcore.gg/png/iceclimbers/dair.png,False,1040
Forward Smash,fsmash,,,,47,47,,,13,14,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/iceclimbers/fsmash.gif,https://i.fightcore.gg/beta/iceclimbers/fsmash.webm,https://i.fightcore.gg/png/iceclimbers/fsmash.png,False,1041
Pummel,pummel,,,,0,,,,,,Throw,,,0,http://meleeframedata.com/,,,,False,1043
Forward throw,fthrow,,,,49,,,,24,27,Throw,,,0,http://meleeframedata.com/,,,,False,1044
Back throw,bthrow,,,,39,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,1045
