Name,NormalizedName,LandLag,LCanceledLandLag,LandingFallSpecialLag,TotalFrames,IASA,AutoCancelBefore,AutoCancelAfter,Start,End,Type,Notes,Percent,CharacterId,Source,GifUrl,WebmUrl,PngUrl,IsInterpolated,Id
Rest,downb,,,,249,,,,1,1,Special,invulnerable frames 1-26,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/jigglypuff/downb.gif,https://i.fightcore.gg/beta/jigglypuff/downb.webm,https://i.fightcore.gg/png/jigglypuff/downb.png,False,950
Dashattack,dattack,,,,39,39,,,4,14,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/jigglypuff/dattack.gif,https://i.fightcore.gg/beta/jigglypuff/dattack.webm,https://i.fightcore.gg/png/jigglypuff/dattack.png,False,952
Forward Tilt,ftilt,,,,27,,,,6,9,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/jigglypuff/ftilt.gif,https://i.fightcore.gg/beta/jigglypuff/ftilt.webm,https://i.fightcore.gg/png/jigglypuff/ftilt.png,False,953
Up Tilt,utilt,,,,23,,,,8,14,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/jigglypuff/utilt.gif,https://i.fightcore.gg/beta/jigglypuff/utilt.webm,https://i.fightcore.gg/png/jigglypuff/utilt.png,False,954
Down Tilt,dtilt,,,,39,30,,,10,12,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/jigglypuff/dtilt.gif,https://i.fightcore.gg/beta/jigglypuff/dtilt.webm,https://i.fightcore.gg/png/jigglypuff/dtilt.png,False,955
Forward Smash,fsmash,,,,44,,,,12,20,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/jigglypuff/fsmash.gif,https://i.fightcore.gg/beta/jigglypuff/fsmash.webm,https://i.fightcore.gg/png/jigglypuff/fsmash.png,False,956
Up Smash,usmash,,,,54,45,,,7,10,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/jigglypuff/usmash.gif,https://i.fightcore.gg/beta/jigglypuff/usmash.webm,https://i.fightcore.gg/png/jigglypuff/usmash.png,False,957
Down Smash,dsmash,,,,54,48,,,9,10,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/jigglypuff/dsmash.gif,https://i.fightcore.gg/beta/jigglypuff/dsmash.webm,https://i.fightcore.gg/png/jigglypuff/dsmash.png,False,958
Neutral Air,nair,20,10,,49,,6,28,6,28,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/jigglypuff/nair.gif,https://i.fightcore.gg/beta/jigglypuff/nair.webm,https://i.fightcore.gg/png/jigglypuff/nair.png,False,959
Forward Air,fair,20,10,,39,35,7,33,7,22,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/jigglypuff/fair.gif,https://i.fightcore.gg/beta/jigglypuff/fair.webm,https://i.fightcore.gg/png/jigglypuff/fair.png,False,960
