Name,NormalizedName,LandLag,LCanceledLandLag,LandingFallSpecialLag,TotalFrames,IASA,AutoCancelBefore,AutoCancelAfter,Start,End,Type,Notes,Percent,CharacterId,Source,GifUrl,WebmUrl,PngUrl,IsInterpolated,Id
Link Special,linkspecial,,,,0,,,,,,KirbySpecial,,,0,http://meleeframedata.com/,,,,False,1054
Luigi Special,luigispecial,,,,0,,,,,,KirbySpecial,,,0,http://meleeframedata.com/,https://i.fightcore.gg/melee/moves/kirby/luigispecial.gif,https://i.fightcore.gg/beta/kirby/luigispecial.webm,,False,1055
Mario Special,mariospecial,,,,0,,,,,,KirbySpecial,,,0,http://meleeframedata.com/,https://i.fightcore.gg/melee/moves/kirby/mariospecial.gif,https://i.fightcore.gg/beta/kirby/mariospecial.webm,,False,1056
Ness Special,nessspecial,,,,0,,,,,,KirbySpecial,,,0,http://meleeframedata.com/,https://i.fightcore.gg/melee/moves/kirby/nessspecial.gif,https://i.fightcore.gg/beta/kirby/nessspecial.webm,,False,1057
Peach Special,peachspecial,,,,0,,,,,,KirbySpecial,,,0,http://meleeframedata.com/,https://i.fightcore.gg/melee/moves/kirby/peachspecial.gif,https://i.fightcore.gg/beta/kirby/peachspecial.webm,,False,1058
Pichu Special,pichuspecial,,,,0,,,,,,KirbySpecial,,,0,http://meleeframedata.com/,https://i.fightcore.gg/melee/moves/kirby/pichuspecial.gif,https://i.fightcore.gg/beta/kirby/pichuspecial.webm,,False,1059
Pikachu Special,pikachuspecial,,,,0,,,,,,KirbySpecial,,,0,http://meleeframedata.com/,https://i.fightcore.gg/melee/moves/kirby/pikachuspecial.gif,https://i.fightcore.gg/beta/kirby/pikachuspecial.webm,,False,1060
Samus Special,samusspecial,,,,0,,,,,,KirbySpecial,,,0,http://meleeframedata.com/,https://i.fightcore.gg/melee/moves/kirby/samusspecial.gif,https://i.fightcore.gg/beta/kirby/samusspecial.webm,,False,1061
Forward throw,fthrow,,,,61,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,1062
Back throw,bthrow,,,,49,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,1063
Up throw,uthrow,,,,79,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,1064
Down throw,dthrow,,,,87,,,,10,56,Throw,,,0,http://meleeframedata.com/,,,,False,1065
Bowser Special,bowserspecial,,,,0,,,,,,KirbySpecial,,,0,http://meleeframedata.com/,https://i.fightcore.gg/melee/moves/kirby/bowserspecial.gif,https://i.fightcore.gg/beta/kirby/bowserspecial.webm,,False,1093
Pummel,pummel,,,,0,,,,,,Throw,,,0,http://meleeframedata.com/,,,,False,1114
Edge attack,edge,,,,0,,,,,,EdgeAttack,,,0,http://meleeframedata.com/,,,,False,1115
Yoshi Special,yoshispecial,,,,0,,,,,,KirbySpecial,,,0,http://meleeframedata.com/,https://i.fightcore.gg/melee/moves/kirby/yoshispecial.gif,https://i.fightcore.gg/beta/kirby/yoshispecial.webm,,False,1159
Mr. Game & Watch Special,mrgameandwatchspecial,,,,0,,,,,,KirbySpecial,,,0,http://meleeframedata.com/,https://i.fightcore.gg/melee/moves/kirby/mrgameandwatchspecial.gif,https://i.fightcore.gg/beta/kirby/mrgameandwatchspecial.webm,,False,1160
Swallow,neutralb,,,,79,,,,17,60,Special,damage is based off character weight. Information on each ability kirby can obtain is listed here: https://smashboards.com/threads/kirby-hitboxes-and-frame-data.322531/,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/kirby/neutralb.gif,https://i.fightcore.gg/beta/kirby/neutralb.webm,https://i.fightcore.gg/png/kirby/neutralb.png,False,1161
Dashattack,dattack,,,,63,60,,,9,43,Grounded,IASA frame is not visualized within animation due to a bug in the game.,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/kirby/dattack.gif,https://i.fightcore.gg/beta/kirby/dattack.webm,https://i.fightcore.gg/png/kirby/dattack.png,False,1163
Forward Tilt,ftilt,,,,32,28,,,5,8,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/kirby/ftilt.gif,https://i.fightcore.gg/beta/kirby/ftilt.webm,https://i.fightcore.gg/png/kirby/ftilt.png,False,1164
Up Tilt,utilt,,,,23,,,,4,7,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/kirby/utilt.gif,https://i.fightcore.gg/beta/kirby/utilt.webm,https://i.fightcore.gg/png/kirby/utilt.png,False,1165
Down Tilt,dtilt,,,,29,,,,4,7,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/kirby/dtilt.gif,https://i.fightcore.gg/beta/kirby/dtilt.webm,https://i.fightcore.gg/png/kirby/dtilt.png,False,1166
Forward Smash,fsmash,,,,49,,,,13,21,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/kirby/fsmash.gif,https://i.fightcore.gg/beta/kirby/fsmash.webm,https://i.fightcore.gg/png/kirby/fsmash.png,False,1167
Up Smash,usmash,,,,49,,,,13,23,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/kirby/usmash.gif,https://i.fightcore.gg/beta/kirby/usmash.webm,https://i.fightcore.gg/png/kirby/usmash.png,False,1168
Down Smash,dsmash,,,,55,50,,,7,22,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/kirby/dsmash.gif,https://i.fightcore.gg/beta/kirby/dsmash.webm,https://i.fightcore.gg/png/kirby/dsmash.png,False,1169
Neutral Air,nair,15,7,,79,50,10,37,10,34,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/kirby/nair.gif,https://i.fightcore.gg/beta/kirby/nair.webm,https://i.fightcore.gg/png/kirby/nair.png,False,1170
