Name,NormalizedName,LandLag,LCanceledLandLag,LandingFallSpecialLag,TotalFrames,IASA,AutoCancelBefore,AutoCancelAfter,Start,End,Type,Notes,Percent,CharacterId,Source,GifUrl,WebmUrl,PngUrl,IsInterpolated,Id
Down Smash,dsmash,,,,37,,,,5,15,Grounded,"front hit frames 5-6, back hit frames 14-15",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/luigi/dsmash.gif,https://i.fightcore.gg/beta/luigi/dsmash.webm,https://i.fightcore.gg/png/luigi/dsmash.png,False,782
Neutral Air,nair,15,7,,45,,3,35,3,31,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/luigi/nair.gif,https://i.fightcore.gg/beta/luigi/nair.webm,https://i.fightcore.gg/png/luigi/nair.png,False,783
Forward Air,fair,25,12,,34,33,2,19,7,10,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/luigi/fair.gif,https://i.fightcore.gg/beta/luigi/fair.webm,https://i.fightcore.gg/png/luigi/fair.png,False,784
Back Air,bair,15,7,,28,,6,18,6,17,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/luigi/bair.gif,https://i.fightcore.gg/beta/luigi/bair.webm,https://i.fightcore.gg/png/luigi/bair.png,False,785
Up Air,uair,15,7,,33,30,2,15,5,7,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/luigi/uair.gif,https://i.fightcore.gg/beta/luigi/uair.webm,https://i.fightcore.gg/png/luigi/uair.png,False,786
Down Air,dair,18,9,,32,29,6,23,10,14,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/luigi/dair.gif,https://i.fightcore.gg/beta/luigi/dair.webm,https://i.fightcore.gg/png/luigi/dair.png,False,787
Edge attack,edge,,,,0,,,,,,EdgeAttack,,,0,http://meleeframedata.com/,,,,False,789
Taunt,taunt,,,,70,,,,45,45,Unknown,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/luigi/taunt.gif,https://i.fightcore.gg/beta/luigi/taunt.webm,https://i.fightcore.gg/png/luigi/taunt.png,False,790
Pummel,pummel,,,,0,,,,,,Throw,,,0,http://meleeframedata.com/,,,,False,791
Forward throw,fthrow,,,,27,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,792
Back throw,bthrow,,,,66,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,793
Up throw,uthrow,,,,39,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,794
Down throw,dthrow,,,,39,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,795
