Name,NormalizedName,LandLag,LCanceledLandLag,LandingFallSpecialLag,TotalFrames,IASA,AutoCancelBefore,AutoCancelAfter,Start,End,Type,Notes,Percent,CharacterId,Source,GifUrl,WebmUrl,PngUrl,IsInterpolated,Id
unknown,unknown,,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,,,,False,796
Cape,sideb,,,,35,,,,12,14,Special,reflects frames 6-33,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mario/sideb.gif,https://i.fightcore.gg/beta/mario/sideb.webm,https://i.fightcore.gg/png/mario/sideb.png,False,797
Super Jump Punch,upb,,,,37,,,,3,24,Special,"12 hitboxes, first 5% damage, then ten 1% damage, then a final 3% damage hitbox.",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mario/upb.gif,https://i.fightcore.gg/beta/mario/upb.webm,https://i.fightcore.gg/png/mario/upb.png,False,798
Mario Tornado,downb,,,,79,,,,8,39,Special,"9 hitboxes, first does 2%, next seven do 1%, last one is the strong hit",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mario/downb.gif,https://i.fightcore.gg/beta/mario/downb.webm,https://i.fightcore.gg/png/mario/downb.png,False,800
Fireball,neutralb,,,,43,,,,14,89,Special,fireball lasts 75 frames,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mario/neutralb.gif,https://i.fightcore.gg/beta/mario/neutralb.webm,https://i.fightcore.gg/png/mario/neutralb.png,False,822
Dashattack,dattack,,,,48,38,,,6,25,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mario/dattack.gif,https://i.fightcore.gg/beta/mario/dattack.webm,https://i.fightcore.gg/png/mario/dattack.png,False,823
Down throw,dthrow,,,,39,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,844
Down Air,dair,23,11,,38,38,6,32,10,29,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mario/dair.gif,https://i.fightcore.gg/beta/mario/dair.webm,https://i.fightcore.gg/png/mario/dair.png,False,845
Forward Tilt,ftilt,,,,32,,,,5,7,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mario/ftilt.gif,https://i.fightcore.gg/beta/mario/ftilt.webm,https://i.fightcore.gg/png/mario/ftilt.png,False,846
Up Tilt,utilt,,,,30,30,,,4,12,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mario/utilt.gif,https://i.fightcore.gg/beta/mario/utilt.webm,https://i.fightcore.gg/png/mario/utilt.png,False,847
