Name,NormalizedName,LandLag,LCanceledLandLag,LandingFallSpecialLag,TotalFrames,IASA,AutoCancelBefore,AutoCancelAfter,Start,End,Type,Notes,Percent,CharacterId,Source,GifUrl,WebmUrl,PngUrl,IsInterpolated,Id
Down throw,dthrow,,,,42,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,758
Up throw,uthrow,,,,44,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,779
Back throw,bthrow,,,,44,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,780
Forward throw,fthrow,,,,31,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,781
Counter,downb,,,,59,,,,5,29,Special,"when counter activates, hitbox active frames 14-20 (delayed by 1 frame if stronger move)",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/downb.gif,https://i.fightcore.gg/beta/marth/downb.webm,https://i.fightcore.gg/png/marth/downb.png,False,824
Dashattack,dattack,,,,49,40,,,12,15,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/dattack.gif,https://i.fightcore.gg/beta/marth/dattack.webm,https://i.fightcore.gg/png/marth/dattack.png,False,826
Forward Tilt,ftilt,,,,35,,,,7,10,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/ftilt.gif,https://i.fightcore.gg/beta/marth/ftilt.webm,https://i.fightcore.gg/png/marth/ftilt.png,False,827
Up Tilt,utilt,,,,39,32,,,6,12,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/utilt.gif,https://i.fightcore.gg/beta/marth/utilt.webm,https://i.fightcore.gg/png/marth/utilt.png,False,828
Down Tilt,dtilt,,,,49,20,,,7,9,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/dtilt.gif,https://i.fightcore.gg/beta/marth/dtilt.webm,https://i.fightcore.gg/png/marth/dtilt.png,False,829
Forward Smash,fsmash,,,,49,48,,,10,13,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/fsmash.gif,https://i.fightcore.gg/beta/marth/fsmash.webm,https://i.fightcore.gg/png/marth/fsmash.png,False,830
Up Smash,usmash,,,,54,46,,,13,16,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/usmash.gif,https://i.fightcore.gg/beta/marth/usmash.webm,https://i.fightcore.gg/png/marth/usmash.png,False,831
Down Smash,dsmash,,,,64,62,,,5,22,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/dsmash.gif,https://i.fightcore.gg/beta/marth/dsmash.webm,https://i.fightcore.gg/png/marth/dsmash.png,False,832
Neutral Air,nair,15,7,,49,,6,24,6,21,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/nair.gif,https://i.fightcore.gg/beta/marth/nair.webm,https://i.fightcore.gg/png/marth/nair.png,False,833
Forward Air,fair,15,7,,33,30,1,26,4,7,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/fair.gif,https://i.fightcore.gg/beta/marth/fair.webm,https://i.fightcore.gg/png/marth/fair.png,False,834
Back Air,bair,24,12,,39,35,1,31,7,11,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/bair.gif,https://i.fightcore.gg/beta/marth/bair.webm,https://i.fightcore.gg/png/marth/bair.png,False,835
Up Air,uair,15,7,,45,,5,26,5,8,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/uair.gif,https://i.fightcore.gg/beta/marth/uair.webm,https://i.fightcore.gg/png/marth/uair.png,False,836
Down Air,dair,32,16,,59,,6,47,6,9,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/dair.gif,https://i.fightcore.gg/beta/marth/dair.webm,https://i.fightcore.gg/png/marth/dair.png,False,837
Edge attack,edge,,,,0,,,,,,EdgeAttack,,,0,http://meleeframedata.com/,,,,False,839
Pummel,pummel,,,,0,,,,,,Throw,,,0,http://meleeframedata.com/,,,,False,840
Dolphin Slash,upb,,,,39,,,,5,11,Special,"strong hit frame 5, can do 10 or 13% damage. weak hit frames 6-11, does 7 or 6% damage",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/upb.gif,https://i.fightcore.gg/beta/marth/upb.webm,https://i.fightcore.gg/png/marth/upb.png,False,841
"Sword Dance (1, Side)",sideb,,,,29,,,,6,8,Special,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/sideb.gif,https://i.fightcore.gg/beta/marth/sideb.webm,https://i.fightcore.gg/png/marth/sideb.png,False,843
Shield Breaker,neutralb,,,,29,,,,16,20,Special,"minimum charge time 11 frames, maximum 121. hitbox active frames 5-10 after releasing charge",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/neutralb.gif,https://i.fightcore.gg/beta/marth/neutralb.webm,,False,862
Roll backwards,rollbackwards,,,,35,,,,4,23,Dodge,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/rollbackwards.gif,https://i.fightcore.gg/beta/marth/rollbackwards.webm,https://i.fightcore.gg/png/marth/rollbackwards.png,False,1412
Airdodge,airdodge,,,,49,,,,4,29,Dodge,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/airdodge.gif,https://i.fightcore.gg/beta/marth/airdodge.webm,https://i.fightcore.gg/png/marth/airdodge.png,False,1413
Spotdodge,spotdodge,,,,27,,,,2,18,Dodge,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/spotdodge.gif,https://i.fightcore.gg/beta/marth/spotdodge.webm,https://i.fightcore.gg/png/marth/spotdodge.png,False,1414
Roll forwards,rollforward,,,,35,,,,4,19,Dodge,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/rollforward.gif,https://i.fightcore.gg/beta/marth/rollforward.webm,https://i.fightcore.gg/png/marth/rollforward.png,False,1423
Jab 1,jab1,,,,27,26,,,4,7,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/jab1.gif,https://i.fightcore.gg/beta/marth/jab1.webm,https://i.fightcore.gg/png/marth/jab1.png,False,1488
Jab 2,jab2,,,,27,26,,,4,8,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/jab2.gif,https://i.fightcore.gg/beta/marth/jab2.webm,https://i.fightcore.gg/png/marth/jab2.png,False,1489
Grab,grab,,,,30,,,,7,8,Throw,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/grab.gif,https://i.fightcore.gg/beta/marth/grab.webm,https://i.fightcore.gg/png/marth/grab.png,False,1579
Dashgrab,dashgrab,,,,40,,,,10,11,Throw,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/dashgrab.gif,https://i.fightcore.gg/beta/marth/dashgrab.webm,https://i.fightcore.gg/png/marth/dashgrab.png,False,1580
Dolphin Slash (Air),aupb,,,,39,,,,5,11,Special,"strong hit frame 5, can do 10 or 13% damage. weak hit frames 6-11, does 7 or 6% damage",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/marth/aupb.gif,https://i.fightcore.gg/beta/marth/aupb.webm,https://i.fightcore.gg/png/marth/aupb.png,False,1661
Tech-Roll Forward,ftechroll,,,,40,,,,,,Tech,"Horizontal Movement At: 9
Distance: 15.2 ft
Invincible: 1-20",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,https://i.fightcore.gg/beta/marth/ftechroll.gif,https://i.fightcore.gg/beta/marth/ftechroll.webm,https://i.fightcore.gg/png/marth/ftechroll.png,False,1783
Tech-Roll Backward,btechroll,,,,40,,,,,,Tech,"Horizontal Movement At: 8
Distance: 15.2 ft
Invincible: 1-20",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,https://i.fightcore.gg/beta/marth/btechroll.gif,https://i.fightcore.gg/beta/marth/btechroll.webm,https://i.fightcore.gg/png/marth/btechroll.png,False,1784
