Name,NormalizedName,LandLag,LCanceledLandLag,LandingFallSpecialLag,TotalFrames,IASA,AutoCancelBefore,AutoCancelAfter,Start,End,Type,Notes,Percent,CharacterId,Source,GifUrl,WebmUrl,PngUrl,IsInterpolated,Id
Forward Air,fair,25,12,,44,,3,44,10,32,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mrgame&watch/fair.gif,https://i.fightcore.gg/beta/mrgame&watch/fair.webm,https://i.fightcore.gg/png/mrgame&watch/fair.png,False,866
Back Air,bair,18,,,39,,10,39,10,24,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mrgame&watch/bair.gif,https://i.fightcore.gg/beta/mrgame&watch/bair.webm,https://i.fightcore.gg/png/mrgame&watch/bair.png,False,867
Up Air,uair,15,,,39,,7,39,7,22,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mrgame&watch/uair.gif,https://i.fightcore.gg/beta/mrgame&watch/uair.webm,https://i.fightcore.gg/png/mrgame&watch/uair.png,False,868
Down Air,dair,20,10,,49,,6,49,12,38,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mrgame&watch/dair.gif,https://i.fightcore.gg/beta/mrgame&watch/dair.webm,https://i.fightcore.gg/png/mrgame&watch/dair.png,False,869
Edge attack,edge,,,,0,,,,,,EdgeAttack,,,0,http://meleeframedata.com/,,,,False,871
Pummel,pummel,,,,0,,,,,,Throw,,,0,http://meleeframedata.com/,,,,False,872
unknown,unknown,,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,,,,False,873
Forward throw,fthrow,,,,27,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,874
Back throw,bthrow,,,,66,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,875
Up throw,uthrow,,,,39,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,876
Down throw,dthrow,,,,39,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,877
Neutral Air,nair,15,,,44,,3,44,20,29,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mrgame&watch/nair.gif,https://i.fightcore.gg/beta/mrgame&watch/nair.webm,https://i.fightcore.gg/png/mrgame&watch/nair.png,False,883
Down Smash,dsmash,,,,34,,,,15,19,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mrgame&watch/dsmash.gif,https://i.fightcore.gg/beta/mrgame&watch/dsmash.webm,https://i.fightcore.gg/png/mrgame&watch/dsmash.png,False,885
Forward Smash,fsmash,,,,44,42,,,13,33,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mrgame&watch/fsmash.gif,https://i.fightcore.gg/beta/mrgame&watch/fsmash.webm,https://i.fightcore.gg/png/mrgame&watch/fsmash.png,False,886
Chef,neutralb,,,,49,,,,18,21,Special,"pan hit is the strong hit, sausages are the weak hits. can throw more sausage every 20-34 frames. sausage lasts 80 frames total",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mrgame&watch/neutralb.gif,https://i.fightcore.gg/beta/mrgame&watch/neutralb.webm,https://i.fightcore.gg/png/mrgame&watch/neutralb.png,False,895
Judgement,sideb,,,,49,,,,16,29,Special,"The first hammer in a match cannot be a 1 or 2.
The second hammer in a match cannot be a 2.
Any number the hammer displays cannot be obtained again until after 2 more hammers.
A death (fall or SD) will reset the rules currently applied to #3.
So long as the forward B animation starts, it will count as the next number. In other words: If you input forward B on frame 1 and are hit on frame 2, it'll still count as the number coming out.

9 Hitbox is smaller than the other hitboxes check https://i.fightcore.gg/mrgame&watch/sideb9.gif",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mrgame&watch/sideb.gif,https://i.fightcore.gg/beta/mrgame&watch/sideb.webm,,False,896
Fire,upb,40,,,39,,,,1,37,Special,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mrgame&watch/upb.gif,https://i.fightcore.gg/beta/mrgame&watch/upb.webm,https://i.fightcore.gg/png/mrgame&watch/upb.png,False,897
Oil Panic,downb,,,,49,,,,2,37,Special,"percent damage is max damage game & watch can do. absorb stats: active frames 5-37, ends frame 49. will loop every 32 frames until b is let go",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mrgame&watch/downb.gif,https://i.fightcore.gg/beta/mrgame&watch/downb.webm,https://i.fightcore.gg/png/mrgame&watch/downb.png,False,898
Dashattack,dattack,,,,37,,,,6,29,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mrgame&watch/dattack.gif,https://i.fightcore.gg/beta/mrgame&watch/dattack.webm,https://i.fightcore.gg/png/mrgame&watch/dattack.png,False,900
Forward Tilt,ftilt,,,,44,42,,,13,30,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mrgame&watch/ftilt.gif,https://i.fightcore.gg/beta/mrgame&watch/ftilt.webm,https://i.fightcore.gg/png/mrgame&watch/ftilt.png,False,901
Up Tilt,utilt,,,,0,,,,9,29,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mrgame&watch/utilt.gif,https://i.fightcore.gg/beta/mrgame&watch/utilt.webm,https://i.fightcore.gg/png/mrgame&watch/utilt.png,False,902
Down Tilt,dtilt,,,,29,26,,,6,13,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mrgame&watch/dtilt.gif,https://i.fightcore.gg/beta/mrgame&watch/dtilt.webm,https://i.fightcore.gg/png/mrgame&watch/dtilt.png,False,903
Up Smash,usmash,,,,44,40,,,24,28,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mrgame&watch/usmash.gif,https://i.fightcore.gg/beta/mrgame&watch/usmash.webm,https://i.fightcore.gg/png/mrgame&watch/usmash.png,False,904
Roll forwards,rollforward,,,,35,,,,4,19,Dodge,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/mrgame&watch/rollforward.gif,https://i.fightcore.gg/beta/mrgame&watch/rollforward.webm,https://i.fightcore.gg/png/mrgame&watch/rollforward.png,False,1403
