Name,NormalizedName,LandLag,LCanceledLandLag,LandingFallSpecialLag,TotalFrames,IASA,AutoCancelBefore,AutoCancelAfter,Start,End,Type,Notes,Percent,CharacterId,Source,GifUrl,WebmUrl,PngUrl,IsInterpolated,Id
Forward throw,fthrow,,,,52,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,699
Back throw,bthrow,,,,52,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,700
Up throw,uthrow,,,,55,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,701
Down throw,dthrow,,,,49,,,,10,33,Throw,,,0,http://meleeframedata.com/,,,,False,702
Pummel,pummel,,,,0,,,,,,Throw,,,0,http://meleeframedata.com/,,,,False,706
Edge attack,edge,,,,0,,,,,,EdgeAttack,,,0,http://meleeframedata.com/,,,,False,716
Down Air,dair,28,14,,59,,20,28,20,28,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/dair.gif,https://i.fightcore.gg/beta/ness/dair.webm,https://i.fightcore.gg/png/ness/dair.png,False,718
PK Thunder,upb,30,,,193,,,,19,139,Special,"frame data refers to maxmimum time thunder can be active. 54 frames endlag once thunder is gone if it didnt hit ness. if it did, ness hitbox active frames 1-36, 70 total frames, strong hit active frames 1-12. ",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/upb.gif,https://i.fightcore.gg/beta/ness/upb.webm,,False,719
PK Flash,neutralb,,,,109,,,,64,77,Special,"minimum total is 109 frames, maximum is 217. damage increases based on charge time",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/neutralb.gif,https://i.fightcore.gg/beta/ness/neutralb.webm,,False,720
PK Fire,sideb,,,,69,,,,20,40,Special,burning hits last 100 frames,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/sideb.gif,https://i.fightcore.gg/beta/ness/sideb.webm,https://i.fightcore.gg/png/ness/sideb.png,False,721
Dashattack,dattack,,,,41,40,,,8,22,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/dattack.gif,https://i.fightcore.gg/beta/ness/dattack.webm,https://i.fightcore.gg/png/ness/dattack.png,False,723
Forward Tilt,ftilt,,,,34,,,,7,11,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/ftilt.gif,https://i.fightcore.gg/beta/ness/ftilt.webm,https://i.fightcore.gg/png/ness/ftilt.png,False,724
Up Tilt,utilt,,,,39,32,,,5,9,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/utilt.gif,https://i.fightcore.gg/beta/ness/utilt.webm,https://i.fightcore.gg/png/ness/utilt.png,False,725
Down Tilt,dtilt,,,,13,,,,3,5,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/dtilt.gif,https://i.fightcore.gg/beta/ness/dtilt.webm,https://i.fightcore.gg/png/ness/dtilt.png,False,726
Forward Smash,fsmash,,,,49,,,,16,17,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/fsmash.gif,https://i.fightcore.gg/beta/ness/fsmash.webm,https://i.fightcore.gg/png/ness/fsmash.png,False,727
usmash_charge,usmash_charge,,,,0,,,,,,Grounded,,,0,http://meleeframedata.com/,,,,False,728
Up Smash,usmash,,,,49,49,,,12,31,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/usmash.gif,https://i.fightcore.gg/beta/ness/usmash.webm,https://i.fightcore.gg/png/ness/usmash.png,False,729
dsmash_charge,dsmash_charge,,,,0,,,,,,Grounded,,,0,http://meleeframedata.com/,,,,False,730
Down Smash,dsmash,,,,61,59,,,12,31,Grounded,IASA frame is not visualized within animation due to a bug in the game.,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/dsmash.gif,https://i.fightcore.gg/beta/ness/dsmash.webm,https://i.fightcore.gg/png/ness/dsmash.png,False,731
Neutral Air,nair,22,11,,39,,5,26,5,23,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/nair.gif,https://i.fightcore.gg/beta/ness/nair.webm,https://i.fightcore.gg/png/ness/nair.png,False,732
Forward Air,fair,18,9,,41,40,8,29,8,21,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/fair.gif,https://i.fightcore.gg/beta/ness/fair.webm,https://i.fightcore.gg/png/ness/fair.png,False,733
Back Air,bair,18,9,,39,36,10,24,10,19,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/bair.gif,https://i.fightcore.gg/beta/ness/bair.webm,https://i.fightcore.gg/png/ness/bair.png,False,734
Up Air,uair,18,9,,45,42,8,26,8,11,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/uair.gif,https://i.fightcore.gg/beta/ness/uair.webm,https://i.fightcore.gg/png/ness/uair.png,False,735
PSI Magnet,downb,,,,59,,,,10,39,Special,"frame data refers to minimum amount of time move can be used. 21 frames of lag upon release, 18 upon absorb",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/downb.gif,https://i.fightcore.gg/beta/ness/downb.webm,https://i.fightcore.gg/png/ness/downb.png,False,1369
Roll forwards,rollforward,,,,31,,,,4,19,Dodge,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/rollforward.gif,https://i.fightcore.gg/beta/ness/rollforward.webm,https://i.fightcore.gg/png/ness/rollforward.png,False,1425
Roll backwards,rollbackwards,,,,31,,,,4,19,Dodge,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/rollbackwards.gif,https://i.fightcore.gg/beta/ness/rollbackwards.webm,https://i.fightcore.gg/png/ness/rollbackwards.png,False,1426
Airdodge,airdodge,,,,48,,,,0,,Dodge,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/airdodge.gif,https://i.fightcore.gg/beta/ness/airdodge.webm,https://i.fightcore.gg/png/ness/airdodge.png,False,1453
Spotdodge,spotdodge,,,,27,,,,2,18,Dodge,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/spotdodge.gif,https://i.fightcore.gg/beta/ness/spotdodge.webm,https://i.fightcore.gg/png/ness/spotdodge.png,False,1454
Jab 1,jab1,,,,19,,,,3,4,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/jab1.gif,https://i.fightcore.gg/beta/ness/jab1.webm,https://i.fightcore.gg/png/ness/jab1.png,False,1512
Jab 2,jab2,,,,19,,,,3,4,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/jab2.gif,https://i.fightcore.gg/beta/ness/jab2.webm,https://i.fightcore.gg/png/ness/jab2.png,False,1513
Jab 3,jab3,,,,29,,,,6,9,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/jab3.gif,https://i.fightcore.gg/beta/ness/jab3.webm,https://i.fightcore.gg/png/ness/jab3.png,False,1514
PK Flash (Air),aneutralb,,,,109,,,,64,77,Special,"minimum total is 109 frames, maximum is 217. damage increases based on charge time",,0,http://meleeframedata.com/,,,,False,1560
PK Fire (Air),asideb,30,,,69,,,,20,40,Special,"burning hits last 100 frames, hits do 2% each (no data on how many hits)",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/asideb.gif,https://i.fightcore.gg/beta/ness/asideb.webm,https://i.fightcore.gg/png/ness/asideb.png,False,1561
Grab,grab,,,,30,,,,8,9,Throw,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/grab.gif,https://i.fightcore.gg/beta/ness/grab.webm,https://i.fightcore.gg/png/ness/grab.png,False,1599
Dashgrab,dashgrab,,,,40,,,,10,11,Throw,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/dashgrab.gif,https://i.fightcore.gg/beta/ness/dashgrab.webm,https://i.fightcore.gg/png/ness/dashgrab.png,False,1600
Forward Tilt (Up),uaft,,,,34,,,,7,11,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/uaft.gif,https://i.fightcore.gg/beta/ness/uaft.webm,https://i.fightcore.gg/png/ness/uaft.png,False,1632
Forward Tilt (Down),daft,,,,34,,,,7,11,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/daft.gif,https://i.fightcore.gg/beta/ness/daft.webm,https://i.fightcore.gg/png/ness/daft.png,False,1633
Tech-Roll Forward,ftechroll,,,,40,,,,,,Tech,"Horizontal Movement At: 9
Distance: 13.2 ft
Invincible: 1-20",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,https://i.fightcore.gg/beta/ness/ftechroll.gif,https://i.fightcore.gg/beta/ness/ftechroll.webm,https://i.fightcore.gg/png/ness/ftechroll.png,False,1799
Tech-Roll Backward,btechroll,,,,40,,,,,,Tech,"Horizontal Movement At: 9
Distance: 13.2 ft
Invincible: 1-20",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,https://i.fightcore.gg/beta/ness/btechroll.gif,https://i.fightcore.gg/beta/ness/btechroll.webm,https://i.fightcore.gg/png/ness/btechroll.png,False,1800
Getup-Attack (Back),bgetup,,,,49,,,,,,Tech,"Hit: 20-21 (Behind), 24-25 (Front)
Invincible: 1-25",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,,,,False,1801
Getup-Attack (Stomach),fgetup,,,,49,,,,,,Tech,"Hit: 19-20 (Behind), 25-26 (Front)
Invincible: 1-26",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,,,,False,1802
Getup-Roll Forward (Back),fgetuprollback,,,,35,,,,,,Tech,"Horizontal Movement At: 7
Distance: 11.4 ft
Invincible: 1-21",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,,,,False,1803
Getup-Roll Forward (Stomach),fgetuprollstomach,,,,35,,,,,,Tech,"Horizontal Movement At: 6
Distance: 11.4 ft
Invincible: 1-19",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,,,,False,1804
Getup-Roll Backward (Back),bgetuprollback,,,,35,,,,,,Tech,"Horizontal Movement At: 13
Distance: 11.4 ft
Invincible: 1-22",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,,,,False,1805
Getup-Roll Backward (Stomach),bgetuprollstomach,,,,35,,,,,,Tech,"Horizontal Movement At: 11
Distance: 11.8 ft
Invincible: 1-19",,0,https://smashboards.com/threads/detailed-throws-techs-and-getups-frame-data.206469/,,,,False,1806
Tech-Neutral,neutraltech,,,,26,,,,,,Tech,Invincible: 1-20,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/neutraltech.gif,https://i.fightcore.gg/beta/ness/neutraltech.webm,https://i.fightcore.gg/png/ness/neutraltech.png,False,1882
Tech-Wall,walltech,,,,31,6,,,,,Tech,"Invincible: 1-14
Input an upwards direction anywhere on 1-4 for walljump tech on 6)",,0,http://meleeframedata.com/,,,,False,1908
Tech-Wall Jump,walltechjump,,,,40,1,,,,,Tech,,,0,http://meleeframedata.com/,,,,False,1934
PK Thunder (Air),aupb,30,,,193,,,,19,139,Special,"frame data refers to maxmimum time thunder can be active. 54 frames endlag once thunder is gone if it didnt hit ness. if it did, ness hitbox active frames 1-36, 70 total frames, strong hit active frames 1-12. ",,0,http://meleeframedata.com/,,,,True,1997
PSI Magnet (Air),adownb,,,,59,,,,10,39,Special,"frame data refers to minimum amount of time move can be used. 21 frames of lag upon release, 18 upon absorb",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/ness/adownb.gif,https://i.fightcore.gg/beta/ness/adownb.webm,https://i.fightcore.gg/png/ness/adownb.png,True,2035
