Name,NormalizedName,LandLag,LCanceledLandLag,LandingFallSpecialLag,TotalFrames,IASA,AutoCancelBefore,AutoCancelAfter,Start,End,Type,Notes,Percent,CharacterId,Source,GifUrl,WebmUrl,PngUrl,IsInterpolated,Id
unknown,unknown,,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,,,,False,703
beamsword,beamsword,,,,0,,,,,,Item,,,0,http://meleeframedata.com/,,,,False,704
bob_omb,bob_omb,,,,0,,,,,,Special,,,0,http://meleeframedata.com/,,,,False,705
mr_saturn,mr_saturn,,,,0,,,,,,Item,,,0,http://meleeframedata.com/,,,,False,707
Peach Parasol,upb,30,,,40,,,,6,29,Special,"Frame data refers to peach rising, 11 hits total (no info on %s). can fast fall as soon as frame 56. Land lag with parasol closed is 4 frames.",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/peach/upb.gif,https://i.fightcore.gg/beta/peach/upb.webm,,False,708
Vegetable,downb,,,,29,,,,29,29,Special,data refers to the turnip pull. will update this with all projectiles damage soon,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/peach/downb.gif,https://i.fightcore.gg/beta/peach/downb.webm,https://i.fightcore.gg/png/peach/downb.png,False,709
Dashattack,dattack,,,,37,36,,,6,20,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/peach/dattack.gif,https://i.fightcore.gg/beta/peach/dattack.webm,https://i.fightcore.gg/png/peach/dattack.png,False,710
Toad,neutralb,,,,64,,,,10,30,Special,"when hit, invincible for 8 frames. 1st sport released on that 8th frame. lasts 78 frames total. 7 hits of 3% damage",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/peach/neutralb.gif,https://i.fightcore.gg/beta/peach/neutralb.webm,https://i.fightcore.gg/png/peach/neutralb.png,False,711
Forward Tilt,ftilt,,,,41,37,,,6,13,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/peach/ftilt.gif,https://i.fightcore.gg/beta/peach/ftilt.webm,https://i.fightcore.gg/png/peach/ftilt.png,False,713
Up Tilt,utilt,,,,39,37,,,9,13,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/peach/utilt.gif,https://i.fightcore.gg/beta/peach/utilt.webm,https://i.fightcore.gg/png/peach/utilt.png,False,714
Peach Bomber,sideb,33,,,46,,,,21,31,Special,"additional 27 frames of lag if you don't land. if hit, 28 frames of lag from time of hit",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/peach/sideb.gif,https://i.fightcore.gg/beta/peach/sideb.webm,https://i.fightcore.gg/png/peach/sideb.png,False,715
Down Tilt,dtilt,,,,27,26,,,12,13,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/peach/dtilt.gif,https://i.fightcore.gg/beta/peach/dtilt.webm,https://i.fightcore.gg/png/peach/dtilt.png,False,736
Forward Smash,fsmash,,,,47,,,,15,18,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/peach/fsmash.gif,https://i.fightcore.gg/beta/peach/fsmash.webm,,False,737
Up Smash,usmash,,,,44,,,,13,22,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/peach/usmash.gif,https://i.fightcore.gg/beta/peach/usmash.webm,https://i.fightcore.gg/png/peach/usmash.png,False,738
