Name,NormalizedName,LandLag,LCanceledLandLag,LandingFallSpecialLag,TotalFrames,IASA,AutoCancelBefore,AutoCancelAfter,Start,End,Type,Notes,Percent,CharacterId,Source,GifUrl,WebmUrl,PngUrl,IsInterpolated,Id
Up Smash,usmash,,,,43,41,,,9,11,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/pichu/usmash.gif,https://i.fightcore.gg/beta/pichu/usmash.webm,https://i.fightcore.gg/png/pichu/usmash.png,False,740
Down Smash,dsmash,,,,54,,,,7,13,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/pichu/dsmash.gif,https://i.fightcore.gg/beta/pichu/dsmash.webm,https://i.fightcore.gg/png/pichu/dsmash.png,False,741
Neutral Air,nair,12,6,,39,,3,34,3,28,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/pichu/nair.gif,https://i.fightcore.gg/beta/pichu/nair.webm,https://i.fightcore.gg/png/pichu/nair.png,False,742
Forward Air,fair,15,7,,39,,10,33,10,24,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/pichu/fair.gif,https://i.fightcore.gg/beta/pichu/fair.webm,https://i.fightcore.gg/png/pichu/fair.png,False,743
Back Air,bair,18,9,,59,,4,49,4,37,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/pichu/bair.gif,https://i.fightcore.gg/beta/pichu/bair.webm,https://i.fightcore.gg/png/pichu/bair.png,False,744
Up Air,uair,18,9,,27,,4,17,4,9,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/pichu/uair.gif,https://i.fightcore.gg/beta/pichu/uair.webm,https://i.fightcore.gg/png/pichu/uair.png,False,745
Down Air,dair,26,13,,57,48,1,38,14,26,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/pichu/dair.gif,https://i.fightcore.gg/beta/pichu/dair.webm,https://i.fightcore.gg/png/pichu/dair.png,False,746
Edge attack,edge,,,,0,,,,,,EdgeAttack,,,0,http://meleeframedata.com/,,,,False,748
Pummel,pummel,,,,0,,,,,,Throw,,,0,http://meleeframedata.com/,,,,False,749
Forward throw,fthrow,,,,43,,,,10,29,Throw,,,0,http://meleeframedata.com/,,,,False,750
Back throw,bthrow,,,,49,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,751
Up throw,uthrow,,,,43,,,,14,19,Throw,,,0,http://meleeframedata.com/,,,,False,752
