Name,NormalizedName,LandLag,LCanceledLandLag,LandingFallSpecialLag,TotalFrames,IASA,AutoCancelBefore,AutoCancelAfter,Start,End,Type,Notes,Percent,CharacterId,Source,GifUrl,WebmUrl,PngUrl,IsInterpolated,Id
Edge attack,edge,,,,0,,,,,,EdgeAttack,,,0,http://meleeframedata.com/,,,,False,888
Pummel,pummel,,,,0,,,,,,Throw,,,0,http://meleeframedata.com/,,,,False,889
Egg Lay,neutralb,,,,39,,,,17,21,Special,damage in egg is cut in half,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/yoshi/neutralb.gif,https://i.fightcore.gg/beta/yoshi/neutralb.webm,https://i.fightcore.gg/png/yoshi/neutralb.png,False,890
Forward throw,fthrow,,,,39,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,891
Back throw,bthrow,,,,43,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,892
Up throw,uthrow,,,,43,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,893
Down throw,dthrow,,,,43,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,894
Down Air,dair,26,13,,59,53,16,49,18,44,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/yoshi/dair.gif,https://i.fightcore.gg/beta/yoshi/dair.webm,https://i.fightcore.gg/png/yoshi/dair.png,False,905
Up Air,uair,19,9,,39,39,5,32,5,6,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/yoshi/uair.gif,https://i.fightcore.gg/beta/yoshi/uair.webm,https://i.fightcore.gg/png/yoshi/uair.png,False,948
Forward Air,fair,21,10,,49,44,4,35,19,21,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/yoshi/fair.gif,https://i.fightcore.gg/beta/yoshi/fair.webm,https://i.fightcore.gg/png/yoshi/fair.png,False,949
Back Air,bair,15,7,,39,38,10,32,10,30,Air,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/yoshi/bair.gif,https://i.fightcore.gg/beta/yoshi/bair.webm,https://i.fightcore.gg/png/yoshi/bair.png,False,989
unknown,unknown,,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,,,,False,996
Side special,sideb,,,,0,,,,,,Special,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/yoshi/sideb.gif,https://i.fightcore.gg/beta/yoshi/sideb.webm,https://i.fightcore.gg/png/yoshi/sideb.png,False,997
Yoshi Bomb,downb,,,,76,,,,27,52,Special,"active frame 27-landing, plus 16 more frames of weak (star) hitboxes. 24 frames endlag upon landing",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/yoshi/downb.gif,https://i.fightcore.gg/beta/yoshi/downb.webm,https://i.fightcore.gg/png/yoshi/downb.png,False,998
Egg Throw,upb,,,,54,,,,18,74,Special,can grab edge after projectile is throw. egg explosion hitbox lasts 3 frames,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/yoshi/upb.gif,https://i.fightcore.gg/beta/yoshi/upb.webm,https://i.fightcore.gg/png/yoshi/upb.png,False,999
Dashattack,dattack,,,,43,42,,,10,23,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/yoshi/dattack.gif,https://i.fightcore.gg/beta/yoshi/dattack.webm,https://i.fightcore.gg/png/yoshi/dattack.png,False,1001
Forward Tilt,ftilt,,,,29,,,,6,8,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/yoshi/ftilt.gif,https://i.fightcore.gg/beta/yoshi/ftilt.webm,https://i.fightcore.gg/png/yoshi/ftilt.png,False,1002
