Name,NormalizedName,LandLag,LCanceledLandLag,LandingFallSpecialLag,TotalFrames,IASA,AutoCancelBefore,AutoCancelAfter,Start,End,Type,Notes,Percent,CharacterId,Source,GifUrl,WebmUrl,PngUrl,IsInterpolated,Id
unknown,unknown,,,,0,,,,,,Unknown,,,0,http://meleeframedata.com/,,,,False,698
Up throw,uthrow,,,,49,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,1117
Down throw,dthrow,,,,64,,,,24,49,Throw,,,0,http://meleeframedata.com/,,,,False,1118
Back throw,bthrow,,,,49,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,1134
Forward throw,fthrow,,,,49,,,,0,0,Throw,,,0,http://meleeframedata.com/,,,,False,1136
Edge attack,edge,,,,0,,,,,,EdgeAttack,,,0,http://meleeframedata.com/,,,,False,1137
Nayru's Love,neutralb,,,,59,,,,12,27,Special,"invulnerable frames 4-11, reflects frames 4-41. 7 hitboxes first 6 doing 1% or 2%, last hit doing 4% or 5% ",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/zelda/neutralb.gif,https://i.fightcore.gg/beta/zelda/neutralb.webm,https://i.fightcore.gg/png/zelda/neutralb.png,False,1138
Farores Wind,upb,30,,,114,,,,10,11,Special,invulnerable frames 33-53. aim at frame 33,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/zelda/upb.gif,https://i.fightcore.gg/beta/zelda/upb.webm,https://i.fightcore.gg/png/zelda/upb.png,False,1139
Din's Fire,sideb,,,,77,,,,60,62,Special,"listed is the fastest din's fuire can be activated. can be detonated as late as frame 98. upon detonation, hitbox comes out frames 23-26. hitbox is larger the longer its charged",,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/zelda/sideb.gif,https://i.fightcore.gg/beta/zelda/sideb.webm,https://i.fightcore.gg/png/zelda/sideb.png,False,1140
Dashattack,dattack,,,,37,36,,,6,13,Grounded,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/zelda/dattack.gif,https://i.fightcore.gg/beta/zelda/dattack.webm,https://i.fightcore.gg/png/zelda/dattack.png,False,1142
Forward Tilt,ftilt,,,,37,37,,,12,14,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/zelda/ftilt.gif,https://i.fightcore.gg/beta/zelda/ftilt.webm,https://i.fightcore.gg/png/zelda/ftilt.png,False,1143
Up Tilt,utilt,,,,43,40,,,10,24,Tilt,,,0,http://meleeframedata.com/,https://i.fightcore.gg/beta/zelda/utilt.gif,https://i.fightcore.gg/beta/zelda/utilt.webm,https://i.fightcore.gg/png/zelda/utilt.png,False,1144
